VAR,Variable,UNIT,Measure,COU,Country,YEA,Year,Value,Flag Codes,Flags
EVIEFE80,Females at age 80,EVIDUREV,Years,AUS,Australia,2010,2010,10.1,,
EVIEFE80,Females at age 80,EVIDUREV,Years,AUS,Australia,2011,2011,10.2,,
EVIEFE80,Females at age 80,EVIDUREV,Years,AUS,Australia,2012,2012,10.2,,
EVIEFE80,Females at age 80,EVIDUREV,Years,AUS,Australia,2013,2013,10.2,,
EVIEFE80,Females at age 80,EVIDUREV,Years,AUS,Australia,2014,2014,10.3,,
EVIEFE80,Females at age 80,EVIDUREV,Years,AUS,Australia,2015,2015,10.4,,
EVIEFE80,Females at age 80,EVIDUREV,Years,AUS,Australia,2016,2016,10.4,,
EVIEFE80,Females at age 80,EVIDUREV,Years,AUS,Australia,2017,2017,10.4,,
EVIEFE80,Females at age 80,EVIDUREV,Years,AUS,Australia,2018,2018,10.6,,
EVIEFE80,Females at age 80,EVIDUREV,Years,AUS,Australia,2019,2019,10.7,,
EVIEFE80,Females at age 80,EVIDUREV,Years,AUS,Australia,2020,2020,10.9,,
EVIEFE80,Females at age 80,EVIDUREV,Years,AUS,Australia,2021,2021,10.9,,
EVIEHO00,Males at birth,EVIDUREV,Years,AUS,Australia,2010,2010,79.5,,
EVIEHO00,Males at birth,EVIDUREV,Years,AUS,Australia,2011,2011,79.7,,
EVIEHO00,Males at birth,EVIDUREV,Years,AUS,Australia,2012,2012,79.9,,
EVIEHO00,Males at birth,EVIDUREV,Years,AUS,Australia,2013,2013,80.1,,
EVIEHO00,Males at birth,EVIDUREV,Years,AUS,Australia,2014,2014,80.3,,
EVIEHO00,Males at birth,EVIDUREV,Years,AUS,Australia,2015,2015,80.4,,
EVIEHO00,Males at birth,EVIDUREV,Years,AUS,Australia,2016,2016,80.4,,
EVIEHO00,Males at birth,EVIDUREV,Years,AUS,Australia,2017,2017,80.5,,
EVIEHO00,Males at birth,EVIDUREV,Years,AUS,Australia,2018,2018,80.7,,
EVIEHO00,Males at birth,EVIDUREV,Years,AUS,Australia,2019,2019,80.9,,
EVIEHO00,Males at birth,EVIDUREV,Years,AUS,Australia,2020,2020,81.2,,
EVIEHO00,Males at birth,EVIDUREV,Years,AUS,Australia,2021,2021,81.3,,
EVIEHO40,Males at age 40,EVIDUREV,Years,AUS,Australia,2010,2010,41.0,,
EVIEHO40,Males at age 40,EVIDUREV,Years,AUS,Australia,2011,2011,41.3,,
EVIEHO40,Males at age 40,EVIDUREV,Years,AUS,Australia,2012,2012,41.4,,
EVIEHO40,Males at age 40,EVIDUREV,Years,AUS,Australia,2013,2013,41.5,,
EVIEHO40,Males at age 40,EVIDUREV,Years,AUS,Australia,2014,2014,41.6,,
EVIEHO40,Males at age 40,EVIDUREV,Years,AUS,Australia,2015,2015,41.7,,
EVIEHO40,Males at age 40,EVIDUREV,Years,AUS,Australia,2016,2016,41.8,,
EVIEHO40,Males at age 40,EVIDUREV,Years,AUS,Australia,2017,2017,41.8,,
EVIEHO40,Males at age 40,EVIDUREV,Years,AUS,Australia,2018,2018,42.1,,
EVIEHO40,Males at age 40,EVIDUREV,Years,AUS,Australia,2019,2019,42.2,,
EVIEHO40,Males at age 40,EVIDUREV,Years,AUS,Australia,2020,2020,42.5,,
EVIEHO40,Males at age 40,EVIDUREV,Years,AUS,Australia,2021,2021,42.6,,
EVIEHO60,Males at age 60,EVIDUREV,Years,AUS,Australia,2010,2010,23.0,,
EVIEHO60,Males at age 60,EVIDUREV,Years,AUS,Australia,2011,2011,23.2,,
EVIEHO60,Males at age 60,EVIDUREV,Years,AUS,Australia,2012,2012,23.3,,
EVIEHO60,Males at age 60,EVIDUREV,Years,AUS,Australia,2013,2013,23.4,,
EVIEHO60,Males at age 60,EVIDUREV,Years,AUS,Australia,2014,2014,23.5,,
EVIEHO60,Males at age 60,EVIDUREV,Years,AUS,Australia,2015,2015,23.7,,
EVIEHO60,Males at age 60,EVIDUREV,Years,AUS,Australia,2016,2016,23.8,,
EVIEHO60,Males at age 60,EVIDUREV,Years,AUS,Australia,2017,2017,23.8,,
EVIEHO60,Males at age 60,EVIDUREV,Years,AUS,Australia,2018,2018,24.0,,
EVIEHO60,Males at age 60,EVIDUREV,Years,AUS,Australia,2019,2019,24.1,,
EVIEHO60,Males at age 60,EVIDUREV,Years,AUS,Australia,2020,2020,24.4,,
EVIEHO60,Males at age 60,EVIDUREV,Years,AUS,Australia,2021,2021,24.5,,
EVIEHO65,Males at age 65,EVIDUREV,Years,AUS,Australia,2010,2010,18.9,,
EVIEHO65,Males at age 65,EVIDUREV,Years,AUS,Australia,2011,2011,19.1,,
EVIEHO65,Males at age 65,EVIDUREV,Years,AUS,Australia,2012,2012,19.1,,
EVIEHO65,Males at age 65,EVIDUREV,Years,AUS,Australia,2013,2013,19.2,,
EVIEHO65,Males at age 65,EVIDUREV,Years,AUS,Australia,2014,2014,19.4,,
EVIEHO65,Males at age 65,EVIDUREV,Years,AUS,Australia,2015,2015,19.5,,
EVIEHO65,Males at age 65,EVIDUREV,Years,AUS,Australia,2016,2016,19.6,,
EVIEHO65,Males at age 65,EVIDUREV,Years,AUS,Australia,2017,2017,19.7,,
EVIEHO65,Males at age 65,EVIDUREV,Years,AUS,Australia,2018,2018,19.9,,
EVIEHO65,Males at age 65,EVIDUREV,Years,AUS,Australia,2019,2019,20.0,,
EVIEHO65,Males at age 65,EVIDUREV,Years,AUS,Australia,2020,2020,20.3,,
EVIEHO65,Males at age 65,EVIDUREV,Years,AUS,Australia,2021,2021,20.3,,
EVIEHO80,Males at age 80,EVIDUREV,Years,AUS,Australia,2010,2010,8.5,,
EVIEHO80,Males at age 80,EVIDUREV,Years,AUS,Australia,2011,2011,8.6,,
EVIEHO80,Males at age 80,EVIDUREV,Years,AUS,Australia,2012,2012,8.6,,
EVIEHO80,Males at age 80,EVIDUREV,Years,AUS,Australia,2013,2013,8.6,,
EVIEHO80,Males at age 80,EVIDUREV,Years,AUS,Australia,2014,2014,8.7,,
EVIEHO80,Males at age 80,EVIDUREV,Years,AUS,Australia,2015,2015,8.8,,
EVIEHO80,Males at age 80,EVIDUREV,Years,AUS,Australia,2016,2016,8.9,,
EVIEHO80,Males at age 80,EVIDUREV,Years,AUS,Australia,2017,2017,8.9,,
EVIEHO80,Males at age 80,EVIDUREV,Years,AUS,Australia,2018,2018,9.1,,
EVIEHO80,Males at age 80,EVIDUREV,Years,AUS,Australia,2019,2019,9.2,,
EVIEHO80,Males at age 80,EVIDUREV,Years,AUS,Australia,2020,2020,9.3,,
EVIEHO80,Males at age 80,EVIDUREV,Years,AUS,Australia,2021,2021,9.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2010,2010,81.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2011,2011,81.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2012,2012,82.0,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2013,2013,82.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2014,2014,82.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2015,2015,82.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2016,2016,82.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2017,2017,82.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2018,2018,82.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2019,2019,82.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2020,2020,83.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUS,Australia,2021,2021,83.3,,
EVIEFE00,Females at birth,EVIDUREV,Years,AUT,Austria,2010,2010,83.5,,
EVIEFE00,Females at birth,EVIDUREV,Years,AUT,Austria,2011,2011,83.8,,
EVIEFE00,Females at birth,EVIDUREV,Years,AUT,Austria,2012,2012,83.6,,
EVIEFE00,Females at birth,EVIDUREV,Years,AUT,Austria,2013,2013,83.8,,
EVIEFE00,Females at birth,EVIDUREV,Years,AUT,Austria,2014,2014,84.0,,
EVIEFE00,Females at birth,EVIDUREV,Years,AUT,Austria,2015,2015,83.7,,
EVIEFE00,Females at birth,EVIDUREV,Years,AUT,Austria,2016,2016,84.1,,
EVIEFE00,Females at birth,EVIDUREV,Years,AUT,Austria,2017,2017,84.0,,
EVIEFE00,Females at birth,EVIDUREV,Years,AUT,Austria,2018,2018,84.1,,
EVIEFE00,Females at birth,EVIDUREV,Years,AUT,Austria,2019,2019,84.2,,
EVIEFE00,Females at birth,EVIDUREV,Years,AUT,Austria,2020,2020,83.6,,
EVIEFE00,Females at birth,EVIDUREV,Years,AUT,Austria,2021,2021,83.7,,
EVIEFE00,Females at birth,EVIDUREV,Years,AUT,Austria,2022,2022,83.5,P,Provisional value
EVIEFE40,Females at age 40,EVIDUREV,Years,AUT,Austria,2010,2010,44.3,,
EVIEFE40,Females at age 40,EVIDUREV,Years,AUT,Austria,2011,2011,44.6,,
EVIEFE40,Females at age 40,EVIDUREV,Years,AUT,Austria,2012,2012,44.3,,
EVIEFE40,Females at age 40,EVIDUREV,Years,AUT,Austria,2013,2013,44.5,,
EVIEFE40,Females at age 40,EVIDUREV,Years,AUT,Austria,2014,2014,44.8,,
EVIEFE40,Females at age 40,EVIDUREV,Years,AUT,Austria,2015,2015,44.4,,
EVIEFE40,Females at age 40,EVIDUREV,Years,AUT,Austria,2016,2016,44.9,,
EVIEFE40,Females at age 40,EVIDUREV,Years,AUT,Austria,2017,2017,44.6,,
EVIEFE40,Females at age 40,EVIDUREV,Years,AUT,Austria,2018,2018,44.7,,
EVIEFE40,Females at age 40,EVIDUREV,Years,AUT,Austria,2019,2019,44.9,,
EVIEFE40,Females at age 40,EVIDUREV,Years,AUT,Austria,2020,2020,44.3,,
EVIEFE40,Females at age 40,EVIDUREV,Years,AUT,Austria,2021,2021,44.3,,
EVIEFE60,Females at age 60,EVIDUREV,Years,AUT,Austria,2010,2010,25.7,,
EVIEFE60,Females at age 60,EVIDUREV,Years,AUT,Austria,2011,2011,26.0,,
EVIEFE60,Females at age 60,EVIDUREV,Years,AUT,Austria,2012,2012,25.6,,
EVIEFE60,Females at age 60,EVIDUREV,Years,AUT,Austria,2013,2013,25.8,,
EVIEFE60,Females at age 60,EVIDUREV,Years,AUT,Austria,2014,2014,26.1,,
EVIEFE60,Females at age 60,EVIDUREV,Years,AUT,Austria,2015,2015,25.7,,
EVIEFE60,Females at age 60,EVIDUREV,Years,AUT,Austria,2016,2016,26.1,,
EVIEFE60,Females at age 60,EVIDUREV,Years,AUT,Austria,2017,2017,25.8,,
EVIEFE60,Females at age 60,EVIDUREV,Years,AUT,Austria,2018,2018,26.0,,
EVIEFE60,Females at age 60,EVIDUREV,Years,AUT,Austria,2019,2019,26.1,,
EVIEFE60,Females at age 60,EVIDUREV,Years,AUT,Austria,2020,2020,25.4,,
EVIEFE60,Females at age 60,EVIDUREV,Years,AUT,Austria,2021,2021,25.5,,
EVIEFE65,Females at age 65,EVIDUREV,Years,AUT,Austria,2010,2010,21.4,,
EVIEFE65,Females at age 65,EVIDUREV,Years,AUT,Austria,2011,2011,21.7,,
EVIEFE65,Females at age 65,EVIDUREV,Years,AUT,Austria,2012,2012,21.3,,
EVIEFE65,Females at age 65,EVIDUREV,Years,AUT,Austria,2013,2013,21.5,,
EVIEFE65,Females at age 65,EVIDUREV,Years,AUT,Austria,2014,2014,21.8,,
EVIEFE65,Females at age 65,EVIDUREV,Years,AUT,Austria,2015,2015,21.3,,
EVIEFE65,Females at age 65,EVIDUREV,Years,AUT,Austria,2016,2016,21.7,,
EVIEFE65,Females at age 65,EVIDUREV,Years,AUT,Austria,2017,2017,21.5,,
EVIEFE65,Females at age 65,EVIDUREV,Years,AUT,Austria,2018,2018,21.6,,
EVIEFE65,Females at age 65,EVIDUREV,Years,AUT,Austria,2019,2019,21.7,,
EVIEFE65,Females at age 65,EVIDUREV,Years,AUT,Austria,2020,2020,21.0,,
EVIEFE65,Females at age 65,EVIDUREV,Years,AUT,Austria,2021,2021,21.1,,
EVIEFE80,Females at age 80,EVIDUREV,Years,AUT,Austria,2010,2010,9.8,,
EVIEFE80,Females at age 80,EVIDUREV,Years,AUT,Austria,2011,2011,10.1,,
EVIEFE80,Females at age 80,EVIDUREV,Years,AUT,Austria,2012,2012,9.7,,
EVIEFE80,Females at age 80,EVIDUREV,Years,AUT,Austria,2013,2013,9.8,,
EVIEFE80,Females at age 80,EVIDUREV,Years,AUT,Austria,2014,2014,10.1,,
EVIEFE80,Females at age 80,EVIDUREV,Years,AUT,Austria,2015,2015,9.7,,
EVIEFE80,Females at age 80,EVIDUREV,Years,AUT,Austria,2016,2016,10.1,,
EVIEFE80,Females at age 80,EVIDUREV,Years,AUT,Austria,2017,2017,9.7,,
EVIEFE80,Females at age 80,EVIDUREV,Years,AUT,Austria,2018,2018,9.8,,
EVIEFE80,Females at age 80,EVIDUREV,Years,AUT,Austria,2019,2019,10.0,,
EVIEFE80,Females at age 80,EVIDUREV,Years,AUT,Austria,2020,2020,9.4,,
EVIEFE80,Females at age 80,EVIDUREV,Years,AUT,Austria,2021,2021,9.6,,
EVIEHO00,Males at birth,EVIDUREV,Years,AUT,Austria,2010,2010,77.8,,
EVIEHO00,Males at birth,EVIDUREV,Years,AUT,Austria,2011,2011,78.3,,
EVIEHO00,Males at birth,EVIDUREV,Years,AUT,Austria,2012,2012,78.4,,
EVIEHO00,Males at birth,EVIDUREV,Years,AUT,Austria,2013,2013,78.6,,
EVIEHO00,Males at birth,EVIDUREV,Years,AUT,Austria,2014,2014,79.1,,
EVIEHO00,Males at birth,EVIDUREV,Years,AUT,Austria,2015,2015,78.8,,
EVIEHO00,Males at birth,EVIDUREV,Years,AUT,Austria,2016,2016,79.3,,
EVIEHO00,Males at birth,EVIDUREV,Years,AUT,Austria,2017,2017,79.4,,
EVIEHO00,Males at birth,EVIDUREV,Years,AUT,Austria,2018,2018,79.4,,
EVIEHO00,Males at birth,EVIDUREV,Years,AUT,Austria,2019,2019,79.7,,
EVIEHO00,Males at birth,EVIDUREV,Years,AUT,Austria,2020,2020,78.9,,
EVIEHO00,Males at birth,EVIDUREV,Years,AUT,Austria,2021,2021,78.8,,
EVIEHO00,Males at birth,EVIDUREV,Years,AUT,Austria,2022,2022,78.8,P,Provisional value
EVIEHO40,Males at age 40,EVIDUREV,Years,AUT,Austria,2010,2010,39.3,,
EVIEHO40,Males at age 40,EVIDUREV,Years,AUT,Austria,2011,2011,39.6,,
EVIEHO40,Males at age 40,EVIDUREV,Years,AUT,Austria,2012,2012,39.7,,
EVIEHO40,Males at age 40,EVIDUREV,Years,AUT,Austria,2013,2013,39.8,,
EVIEHO40,Males at age 40,EVIDUREV,Years,AUT,Austria,2014,2014,40.3,,
EVIEHO40,Males at age 40,EVIDUREV,Years,AUT,Austria,2015,2015,40.0,,
EVIEHO40,Males at age 40,EVIDUREV,Years,AUT,Austria,2016,2016,40.5,,
EVIEHO40,Males at age 40,EVIDUREV,Years,AUT,Austria,2017,2017,40.5,,
EVIEHO40,Males at age 40,EVIDUREV,Years,AUT,Austria,2018,2018,40.5,,
EVIEHO40,Males at age 40,EVIDUREV,Years,AUT,Austria,2019,2019,40.8,,
EVIEHO40,Males at age 40,EVIDUREV,Years,AUT,Austria,2020,2020,40.0,,
EVIEHO40,Males at age 40,EVIDUREV,Years,AUT,Austria,2021,2021,40.0,,
EVIEHO60,Males at age 60,EVIDUREV,Years,AUT,Austria,2010,2010,21.6,,
EVIEHO60,Males at age 60,EVIDUREV,Years,AUT,Austria,2011,2011,21.9,,
EVIEHO60,Males at age 60,EVIDUREV,Years,AUT,Austria,2012,2012,21.8,,
EVIEHO60,Males at age 60,EVIDUREV,Years,AUT,Austria,2013,2013,22.0,,
EVIEHO60,Males at age 60,EVIDUREV,Years,AUT,Austria,2014,2014,22.4,,
EVIEHO60,Males at age 60,EVIDUREV,Years,AUT,Austria,2015,2015,22.0,,
EVIEHO60,Males at age 60,EVIDUREV,Years,AUT,Austria,2016,2016,22.4,,
EVIEHO60,Males at age 60,EVIDUREV,Years,AUT,Austria,2017,2017,22.5,,
EVIEHO60,Males at age 60,EVIDUREV,Years,AUT,Austria,2018,2018,22.4,,
EVIEHO60,Males at age 60,EVIDUREV,Years,AUT,Austria,2019,2019,22.7,,
EVIEHO60,Males at age 60,EVIDUREV,Years,AUT,Austria,2020,2020,21.8,,
EVIEHO60,Males at age 60,EVIDUREV,Years,AUT,Austria,2021,2021,21.9,,
EVIEHO65,Males at age 65,EVIDUREV,Years,AUT,Austria,2010,2010,17.9,,
EVIEHO65,Males at age 65,EVIDUREV,Years,AUT,Austria,2011,2011,18.1,,
EVIEHO65,Males at age 65,EVIDUREV,Years,AUT,Austria,2012,2012,18.1,,
EVIEHO65,Males at age 65,EVIDUREV,Years,AUT,Austria,2013,2013,18.2,,
EVIEHO65,Males at age 65,EVIDUREV,Years,AUT,Austria,2014,2014,18.5,,
EVIEHO65,Males at age 65,EVIDUREV,Years,AUT,Austria,2015,2015,18.1,,
EVIEHO65,Males at age 65,EVIDUREV,Years,AUT,Austria,2016,2016,18.5,,
EVIEHO65,Males at age 65,EVIDUREV,Years,AUT,Austria,2017,2017,18.5,,
EVIEHO65,Males at age 65,EVIDUREV,Years,AUT,Austria,2018,2018,18.5,,
EVIEHO65,Males at age 65,EVIDUREV,Years,AUT,Austria,2019,2019,18.7,,
EVIEHO65,Males at age 65,EVIDUREV,Years,AUT,Austria,2020,2020,17.9,,
EVIEHO65,Males at age 65,EVIDUREV,Years,AUT,Austria,2021,2021,18.0,,
EVIEHO80,Males at age 80,EVIDUREV,Years,AUT,Austria,2010,2010,8.1,,
EVIEHO80,Males at age 80,EVIDUREV,Years,AUT,Austria,2011,2011,8.3,,
EVIEHO80,Males at age 80,EVIDUREV,Years,AUT,Austria,2012,2012,8.3,,
EVIEHO80,Males at age 80,EVIDUREV,Years,AUT,Austria,2013,2013,8.3,,
EVIEHO80,Males at age 80,EVIDUREV,Years,AUT,Austria,2014,2014,8.6,,
EVIEHO80,Males at age 80,EVIDUREV,Years,AUT,Austria,2015,2015,8.3,,
EVIEHO80,Males at age 80,EVIDUREV,Years,AUT,Austria,2016,2016,8.6,,
EVIEHO80,Males at age 80,EVIDUREV,Years,AUT,Austria,2017,2017,8.5,,
EVIEHO80,Males at age 80,EVIDUREV,Years,AUT,Austria,2018,2018,8.6,,
EVIEHO80,Males at age 80,EVIDUREV,Years,AUT,Austria,2019,2019,8.6,,
EVIEHO80,Males at age 80,EVIDUREV,Years,AUT,Austria,2020,2020,8.0,,
EVIEHO80,Males at age 80,EVIDUREV,Years,AUT,Austria,2021,2021,8.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2010,2010,80.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2011,2011,81.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2012,2012,81.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2013,2013,81.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2014,2014,81.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2015,2015,81.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2016,2016,81.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2017,2017,81.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2018,2018,81.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2019,2019,82.0,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2020,2020,81.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2021,2021,81.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,AUT,Austria,2022,2022,81.1,P,Provisional value
EVIEFE00,Females at birth,EVIDUREV,Years,BEL,Belgium,2010,2010,83.0,,
EVIEFE00,Females at birth,EVIDUREV,Years,BEL,Belgium,2011,2011,83.3,B,Break
EVIEFE00,Females at birth,EVIDUREV,Years,BEL,Belgium,2012,2012,83.1,,
EVIEFE00,Females at birth,EVIDUREV,Years,BEL,Belgium,2013,2013,83.2,,
EVIEFE00,Females at birth,EVIDUREV,Years,BEL,Belgium,2014,2014,83.9,,
EVIEFE00,Females at birth,EVIDUREV,Years,BEL,Belgium,2015,2015,83.4,,
EVIEFE00,Females at birth,EVIDUREV,Years,BEL,Belgium,2016,2016,84.0,,
EVIEFE00,Females at birth,EVIDUREV,Years,BEL,Belgium,2017,2017,83.9,,
EVIEFE00,Females at birth,EVIDUREV,Years,BEL,Belgium,2018,2018,83.9,,
EVIEFE00,Females at birth,EVIDUREV,Years,BEL,Belgium,2019,2019,84.3,,
EVIEFE00,Females at birth,EVIDUREV,Years,BEL,Belgium,2020,2020,83.0,,
EVIEFE00,Females at birth,EVIDUREV,Years,BEL,Belgium,2021,2021,84.3,,
EVIEFE00,Females at birth,EVIDUREV,Years,BEL,Belgium,2022,2022,83.9,P,Provisional value
EVIEFE40,Females at age 40,EVIDUREV,Years,BEL,Belgium,2010,2010,43.9,,
EVIEFE40,Females at age 40,EVIDUREV,Years,BEL,Belgium,2011,2011,44.1,B,Break
EVIEFE40,Females at age 40,EVIDUREV,Years,BEL,Belgium,2012,2012,43.9,,
EVIEFE40,Females at age 40,EVIDUREV,Years,BEL,Belgium,2013,2013,44.1,,
EVIEFE40,Females at age 40,EVIDUREV,Years,BEL,Belgium,2014,2014,44.7,,
EVIEFE40,Females at age 40,EVIDUREV,Years,BEL,Belgium,2015,2015,44.2,,
EVIEFE40,Females at age 40,EVIDUREV,Years,BEL,Belgium,2016,2016,44.7,,
EVIEFE40,Females at age 40,EVIDUREV,Years,BEL,Belgium,2017,2017,44.7,,
EVIEFE40,Females at age 40,EVIDUREV,Years,BEL,Belgium,2018,2018,44.7,,
EVIEFE40,Females at age 40,EVIDUREV,Years,BEL,Belgium,2019,2019,45.0,,
EVIEFE40,Females at age 40,EVIDUREV,Years,BEL,Belgium,2020,2020,43.8,,
EVIEFE40,Females at age 40,EVIDUREV,Years,BEL,Belgium,2021,2021,45.1,,
EVIEFE60,Females at age 60,EVIDUREV,Years,BEL,Belgium,2010,2010,25.5,,
EVIEFE60,Females at age 60,EVIDUREV,Years,BEL,Belgium,2011,2011,25.8,B,Break
EVIEFE60,Females at age 60,EVIDUREV,Years,BEL,Belgium,2012,2012,25.5,,
EVIEFE60,Females at age 60,EVIDUREV,Years,BEL,Belgium,2013,2013,25.7,,
EVIEFE60,Females at age 60,EVIDUREV,Years,BEL,Belgium,2014,2014,26.2,,
EVIEFE60,Females at age 60,EVIDUREV,Years,BEL,Belgium,2015,2015,25.7,,
EVIEFE60,Females at age 60,EVIDUREV,Years,BEL,Belgium,2016,2016,26.2,,
EVIEFE60,Females at age 60,EVIDUREV,Years,BEL,Belgium,2017,2017,26.1,,
EVIEFE60,Females at age 60,EVIDUREV,Years,BEL,Belgium,2018,2018,26.1,,
EVIEFE60,Females at age 60,EVIDUREV,Years,BEL,Belgium,2019,2019,26.4,,
